dataset_id,node_id,target_bootstrap,branch_length,depth,n_leaves_subtree,subtree_fraction,subtree_balance,mean_child_branch_length,std_child_branch_length,taxa_count,alignment_length,gap_fraction_global,gc_mean_global,gc_std_global,variable_site_fraction_global,gap_fraction_clade,gc_mean_clade,gc_std_clade,mean_pairwise_pdist_clade
dt001,dt001_node_0,99.2,0.0250700976820087,0.0250700976820087,24.0,12.0,0.9166666666666666,0.0104547884158002,0.0104547884158002,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_1,99.9,0.177209755403565,0.177209755403565,2.0,1.0,0.0,0.1213998646248775,0.1213998646248775,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_2,99.2,0.0209095768316004,0.0459796745136091,23.0,11.5,0.9130434782608695,0.00121180065345527,0.00121180065345527,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_3,45.6,0.00242360130691054,0.04840327582051964,22.0,11.0,0.9090909090909091,0.00328600523629323,0.00255291829160976,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_4,74.0,0.00583892352790299,0.05424219934842263,21.0,10.5,0.9047619047619048,0.0019036253151760796,0.0011146496076413306,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_5,38.5,0.00301827492281741,0.057260474271240036,20.0,10.0,0.8,0.0006628694648651956,0.0002340302205682705,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_6,7.000000000000001,0.000896899685433466,0.0581573739566735,18.0,9.0,0.8888888888888888,0.002968219258368798,0.002290264045536672,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_7,15.0,0.000428839244296925,0.05768931351553696,2.0,1.0,0.0,0.00093898539796382,0.00058755930937274,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_8,9.3,0.000677955212832126,0.05883532916950563,17.0,8.5,0.7647058823529411,0.0019271651292801198,0.00044427957303197995,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_9,20.599999999999998,0.00148288555624814,0.06031821472575377,15.0,7.5,0.8666666666666667,0.000557812317972425,0.000557812317972425,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
