dataset_id,alignment_file,tree_file,ok,error,n_rows
dt001,c:\GitHubMain\GraduateWork\ml3\datasets\dt001\M1263.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt001\Newick Export.nwk,True,,24.0
dt002,c:\GitHubMain\GraduateWork\ml3\datasets\dt002\M14005.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt002\Newick Export.nwk,True,,10.0
dt003,c:\GitHubMain\GraduateWork\ml3\datasets\dt003\M146.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt003\Newick Export.nwk,True,,34.0
dt004,c:\GitHubMain\GraduateWork\ml3\datasets\dt004\M1534.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt004\Newick Export.nwk,True,,25.0
dt005,c:\GitHubMain\GraduateWork\ml3\datasets\dt005\M1614.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt005\Newick Export.nwk,True,,51.0
dt007,c:\GitHubMain\GraduateWork\ml3\datasets\dt007\M19870.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt007\Newick Export.nwk,True,,110.0
dt008,c:\GitHubMain\GraduateWork\ml3\datasets\dt008\M20489.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt008\Newick Export.nwk,True,,38.0
dt009,c:\GitHubMain\GraduateWork\ml3\datasets\dt009\M22687.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt009\Newick Export.nwk,True,,60.0
dt010,c:\GitHubMain\GraduateWork\ml3\datasets\dt010\M22842.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt010\Newick Export.nwk,True,,14.0
dt012,c:\GitHubMain\GraduateWork\ml3\datasets\dt012\M2406.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt012\Newick Export.nwk,True,,28.0
dt015,c:\GitHubMain\GraduateWork\ml3\datasets\dt015\M3052.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt015\Newick Export.nwk,True,,41.0
dt017,c:\GitHubMain\GraduateWork\ml3\datasets\dt017\M3101.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt017\Newick Export.nwk,True,,62.0
dt018,c:\GitHubMain\GraduateWork\ml3\datasets\dt018\M3141.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt018\Newick Export.nwk,True,,44.0
dt019,c:\GitHubMain\GraduateWork\ml3\datasets\dt019\M35108.nex,c:\GitHubMain\GraduateWork\ml3\datasets\dt019\Newick Export.nwk,True,,18.0
