dataset_id,alignment_file,tree_file,ok,error,n_rows
dt002,c:\GitHubMain\GraduateWork\ml4\datasets\dt002\M14005.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt002\Newick Export.nwk,True,,10.0
dt003,c:\GitHubMain\GraduateWork\ml4\datasets\dt003\M146.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt003\Newick Export.nwk,True,,34.0
dt004,c:\GitHubMain\GraduateWork\ml4\datasets\dt004\M1534.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt004\Newick Export.nwk,True,,25.0
dt007,c:\GitHubMain\GraduateWork\ml4\datasets\dt007\M19870.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt007\Newick Export.nwk,True,,110.0
dt010,c:\GitHubMain\GraduateWork\ml4\datasets\dt010\M22842.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt010\Newick Export.nwk,True,,14.0
dt012,c:\GitHubMain\GraduateWork\ml4\datasets\dt012\M2406.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt012\Newick Export.nwk,True,,28.0
dt017,c:\GitHubMain\GraduateWork\ml4\datasets\dt017\M3101.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt017\Newick Export.nwk,True,,62.0
dt020,c:\GitHubMain\GraduateWork\ml4\datasets\dt020\M35566.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt020\Newick Export.nwk,True,,24.0
dt022,c:\GitHubMain\GraduateWork\ml4\datasets\dt022\M3591.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt022\Newick Export.nwk,True,,15.0
dt024,c:\GitHubMain\GraduateWork\ml4\datasets\dt024\M40326.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt024\Newick Export.nwk,True,,43.0
dt026,c:\GitHubMain\GraduateWork\ml4\datasets\dt026\M4541.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt026\Newick Export.nwk,True,,72.0
dt027,c:\GitHubMain\GraduateWork\ml4\datasets\dt027\M459.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt027\Newick Export.nwk,True,,25.0
dt028,c:\GitHubMain\GraduateWork\ml4\datasets\dt028\M4744.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt028\Newick Export.nwk,True,,33.0
dt034,c:\GitHubMain\GraduateWork\ml4\datasets\dt034\M59389.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt034\Newick Export.nwk,True,,4.0
dt037,c:\GitHubMain\GraduateWork\ml4\datasets\dt037\M9381.nex,c:\GitHubMain\GraduateWork\ml4\datasets\dt037\Newick Export.nwk,True,,4.0
dt1,c:\GitHubMain\GraduateWork\ml4\datasets\dt1\1_1563290054_Physarales_SSU_EF1A_COI_20190525_final2.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt1\dt1,True,,29.0
dt10,c:\GitHubMain\GraduateWork\ml4\datasets\dt10\M4139.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt10\dt10,True,,90.0
dt11,c:\GitHubMain\GraduateWork\ml4\datasets\dt11\M4155.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt11\dt11,True,,37.0
dt12,c:\GitHubMain\GraduateWork\ml4\datasets\dt12\M416.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt12\dt12,True,,18.0
dt13,c:\GitHubMain\GraduateWork\ml4\datasets\dt13\1_1433953687_Ravinia_COI_COII.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt13\dt13,True,,103.0
dt14,c:\GitHubMain\GraduateWork\ml4\datasets\dt14\1_1418164038_Eupristina_treebase.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt14\dt14,True,,54.0
dt15,c:\GitHubMain\GraduateWork\ml4\datasets\dt15\M3730.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt15\dt15,True,,42.0
dt16,c:\GitHubMain\GraduateWork\ml4\datasets\dt16\M3672.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt16\dt16,True,,41.0
dt19,c:\GitHubMain\GraduateWork\ml4\datasets\dt19\M2859.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt19\dt19,True,,51.0
dt2,c:\GitHubMain\GraduateWork\ml4\datasets\dt2\M3740.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt2\dt2,True,,62.0
dt20,c:\GitHubMain\GraduateWork\ml4\datasets\dt20\M685.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt20\dt20,True,,65.0
dt4,c:\GitHubMain\GraduateWork\ml4\datasets\dt4\COI_with_outgroups.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt4\dt4,False,В файле не найдено BEGIN CHARACTERS.,
dt5,c:\GitHubMain\GraduateWork\ml4\datasets\dt5\1_1381571722_Xmesostena_97.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt5\dt5,True,,94.0
dt7,c:\GitHubMain\GraduateWork\ml4\datasets\dt7\M3448.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt7\dt7,True,,26.0
dt8,c:\GitHubMain\GraduateWork\ml4\datasets\dt8\1_1499518959_Fig.2.Coccidae.nexorg,c:\GitHubMain\GraduateWork\ml4\datasets\dt8\dt8_2.nwk,True,,18.0
