feature,importance
branch_length,0.5273107395117536
gc_std_clade,0.11698556344211157
mean_pairwise_pdist_clade,0.053319075829948284
gc_mean_clade,0.041827816090941175
mean_child_branch_length,0.0381718709753931
std_child_branch_length,0.03570510328834205
subtree_fraction,0.03538806281042191
n_leaves_subtree,0.033422389544632315
depth,0.033070591086993374
gap_fraction_clade,0.027171786614115824
gc_mean_global,0.01781901425203735
subtree_balance,0.010126726611755205
gc_std_global,0.009450708409415186
alignment_length,0.006289039304779051
gap_fraction_global,0.005541411083684199
variable_site_fraction_global,0.004446761299624203
taxa_count,0.0039533398440517046
